カテゴリ,組織名,タイトル,概要,テーマ,リンク,担当者
製造,富士通株式会社,AIエージェントと 共に描く、 インテリジェント 製造進化の道筋 - Fujitsu,富士通が製造業向けにAIエージェントを活用したインテリジェントマニュファクチャリングの取り組みを発表した。,業務プロセス改善 既存事業の価値向上,global.fujitsu/-/m…F631B8 (https://global.fujitsu/-/media/Project/Fujitsu/Fujitsu-HQ/technology/key-technologies/news/ta-ai-agents-intelligent-manufacturing-20250625/ta-ai-agents-intelligent-manufacturing-20250626-jp.pdf?rev=63e9a72f278b48daad449d77e4b2db87&hash=BEA155469867E0AD2A1E0F21A3F631B8),茨 茨木雄太
テクノロジー,株式会社SCSK,生成AI搭載ノーコード開発 『CELF AI』 正式版を提供開始 - SCSK,SCSKがAIを活用した新しいシステムの開発を発表した。,業務プロセス改善,scsk.jp/new…26.pdf (https://www.scsk.jp/news/2025/pdf/20250626.pdf),K kosuke takaki
テクノロジー,"株式会社Catch
                                                                    the Web","SEO記事生成AIツール「AItools」、 Markdown形式への変換機能を実装＆ ユーザー数1万2千人
                                                                ...",SEO記事生成AIツール「AItools」がMarkdown形式への変換機能を実装し、ユーザー数が1万2千人を突破したことを発表。,既存事業の価値向上 業務プロセス改善,atpress.ne.jp/news/440286 (https://www.atpress.ne.jp/news/440286),田中宏明
テクノロジー,さくらインターネット株式会社,気象庁と約25億円のハイパフォーマンス・クラウドサービス提供に関する契約を締結,さくらインターネットは、気象庁とハイパフォーマンス・クラウドサービスの提供に関する契約を締結し、台風の進路予測等の精度向上を目的としたクラウドインフラを提供する。,業務プロセス改善 既存事業の価値向上,sakura.ad.jp/cor…19845/ (https://www.sakura.ad.jp/corporate/information/newsreleases/2025/06/25/1968219845/),K kosuke takaki
テクノロジー,株式会社リコー,リコー、顧客向けデジタルサービス領域でAWSとの連携強化 | リコーグループ 企業・IR,"株式会社リコーとアマゾン ウェブ サービス
                                                                ジャパン合同会社は、リコーによる顧客の業務効率化と生産性向上を支援する高付加価値なデジタルサービス創出を加速するため、連携を強化します。",業務プロセス改善 既存事業の価値向上,jp.ricoh.com/rel…0625_2 (https://jp.ricoh.com/release/2025/0625_2),K kosuke takaki
メディア・広告・出版,株式会社博報堂,"Hakuhodo DY ONE、AI
                                                                HackとAI検索におけるブランド情報最適化に向けた実証実験を開始","株式会社博報堂は、AI検索におけるブランド情報最適化に関する実証実験を開始しました。AI
                                                                Hackと共に、AIによる回答の正確性やブランドイメージ適合性を向上させることを目指します。",業務プロセス改善 既存事業の価値向上,hakuhodo.co.jp/new…117768 (https://www.hakuhodo.co.jp/news/newsrelease/117768),田中宏明
メディア・広告・出版,株式会社博報堂,"Hakuhodo DY ONE、AI
                                                                HackとAI検索におけるブランド情報最適化に向けた実証実験を開始","株式会社博報堂は、AI検索におけるブランド情報最適化に関する実証実験を開始しました。AI
                                                                Hackと共に、AIによる回答の正確性やブランドイメージ適合性を向上させることを目指します。",業務プロセス改善 既存事業の価値向上,hakuhodo.co.jp/new…117768 (https://www.hakuhodo.co.jp/news/newsrelease/117768),田中宏明
メディア・広告・出版,株式会社電通グループ,カンヌにおいて生成AIと自社BXを活用したソリューションを公開 – 株式会社電通グループ,電通グループがカンヌにおいて、生成AIと自社BXを活用した新しいビジネスソリューションを発表した。,業務プロセス改善 既存事業の価値向上,group.dentsu.com/jp/…1.html (https://www.group.dentsu.com/jp/news/release/001491.html),田中宏明
公共・自治体,株式会社ティファナ・ドットコム,生成AIを活用した「AI電話対応さくらさん」の試験運用を行います | 会津若松市,会津若松市が生成AIを活用した電話対応システム「AI電話対応さくらさん」を導入し、試験運用を開始した。,業務プロセス改善,city.aizuwakamatsu.fukushima.jp/doc…00013/ (https://www.city.aizuwakamatsu.fukushima.jp/docs/2025061200013/),S saeki kazuhiro
メディア・広告・出版,"株式会社
                                                                    電通デジタル",マーケターの時間を“解放”する。生成AIで切り拓く次世代マーケティングの兆し,電通デジタルが独自のAIソリューションブランド「∞AI（ムゲンAI）」を展開し、生成AIを活用した広告制作やマーケティング分析の新しいプロセスを紹介している。,業務プロセス改善 既存事業の価値向上,dentsu-ho.com/art…s/9294 (https://dentsu-ho.com/articles/9294),田中宏明
コンサル・士業,KPMGジャパン,生成AI時代の競争戦略、日本企業の勝ち筋とは？ - KPMGジャパン,生成AIを活用したビジネスモデル変革と日本企業の競争戦略についての対談が行われ、AI技術が業務効率化やビジネスモデルの変革にどのように寄与するかが議論された。,業務プロセス改善 既存事業の価値向上,kpmg.com/jp/…y.html (https://kpmg.com/jp/ja/home/insights/2025/06/interview-generativeai-strategy.html),茨 茨木雄太
